Node,Demand,Pattern,Category
114,0.002854,Domestic,
114,0.003171,Domestic,
114,0.003203,Domestic,
114,0.003361,Domestic,
114,0.003551,Domestic,
114,0.00371,Domestic,
114,0.00371,Domestic,
114,0.003964,Domestic,
114,0.004408,Domestic,
114,0.004598,Domestic,
114,0.00463,Domestic,
114,0.006088,Domestic,
114,0.006152,Domestic,
114,0.006691,Domestic,
114,0.006786,Domestic,
114,0.006976,Domestic,
114,0.009037,Domestic,
114,0.013635,Domestic,
116,9.50E-05,Domestic,
116,9.50E-05,Domestic,
116,0.000127,Domestic,
116,0.00019,Domestic,
116,0.000254,Domestic,
116,0.000317,Domestic,
116,0.000571,Domestic,
116,0.000729,Domestic,
116,0.000761,Domestic,
116,0.000793,Domestic,
116,0.000888,Domestic,
116,0.000888,Domestic,
116,0.001015,Domestic,
116,0.001078,Domestic,
116,0.00111,Domestic,
116,0.001142,Domestic,
116,0.001237,Domestic,
116,0.0013,Domestic,
116,0.001332,Domestic,
116,0.001585,Domestic,
116,0.001585,Domestic,
116,0.001617,Domestic,
116,0.001649,Domestic,
116,0.001649,Domestic,
116,0.001681,Domestic,
116,0.001681,Domestic,
116,0.001934,Domestic,
116,0.001934,Domestic,
116,0.001934,Domestic,
116,0.001966,Domestic,
116,0.001998,Domestic,
116,0.002029,Domestic,
116,0.002188,Domestic,
116,0.002188,Domestic,
116,0.002188,Domestic,
116,0.002283,Domestic,
116,0.002315,Domestic,
116,0.002378,Domestic,
116,0.002442,Domestic,
116,0.002568,Domestic,
116,0.002568,Domestic,
116,0.002759,Domestic,
116,0.002822,Domestic,
116,0.002854,Domestic,
116,0.003012,Domestic,
116,0.003044,Domestic,
116,0.003076,Domestic,
116,0.003171,Domestic,
116,0.003203,Domestic,
116,0.003393,Domestic,
116,0.003456,Domestic,
116,0.003647,Domestic,
116,0.003805,Domestic,
116,0.003805,Domestic,
116,0.003869,Domestic,
116,0.003964,Domestic,
116,0.004091,Domestic,
116,0.004154,Domestic,
116,0.004725,Domestic,
116,0.00482,Domestic,
116,0.005105,Domestic,
116,0.005169,Domestic,
116,0.005296,Domestic,
116,0.005327,Domestic,
116,0.005391,Domestic,
116,0.005613,Domestic,
116,0.006152,Domestic,
116,0.006944,Domestic,
116,0.007357,Domestic,
117,0.000793,Domestic,
117,0.00111,Domestic,
117,0.001205,Domestic,
117,0.001205,Domestic,
117,0.001205,Domestic,
117,0.001966,Domestic,
117,0.002156,Domestic,
117,0.002442,Domestic,
117,0.003647,Domestic,
117,0.004725,Domestic,
117,0.00612,Domestic,
118,3.20E-05,Domestic,
118,9.50E-05,Domestic,
118,0.000254,Domestic,
118,0.000412,Domestic,
118,0.000761,Domestic,
118,0.000856,Domestic,
118,0.001554,Domestic,
118,0.001585,Domestic,
118,0.001649,Domestic,
118,0.001776,Domestic,
118,0.001839,Domestic,
118,0.001934,Domestic,
